Satellite,Epoch Time,x,y,z
GPS17,2009-06-30 05:59:44,-15127426.295117177,-21338780.928652566,-5099804.343234616
GPS17,2009-06-30 06:00:00,-15127426.119264076,-21338781.200876333,-5099803.351304565
GPS17,2009-06-30 07:59:44,-15127274.854752127,-21338910.09220188,-5099741.4831474805
GPS17,2009-06-30 10:00:00,-15127166.647641134,-21339017.409062922,-5099572.319833138
GPS17,2009-06-30 12:00:00,-15127707.027126428,-21338587.787791673,-5099762.337249372
GPS17,2009-06-30 14:00:00,-15127659.387566883,-21338876.913158596,-5098717.470452103
GPS17,2009-06-30 16:00:00,-15128088.367753595,-21338268.793940395,-5099848.312117583
GPS17,2009-06-30 18:00:00,-15127023.05897716,-21339018.582856145,-5100086.730544145
GPS17,2009-06-30 20:00:00,-15127020.662610726,-21338888.34148563,-5100656.92593728
GPS17,2009-06-30 22:00:00,-15127360.114465345,-21338478.989068713,-5101311.477238452
GPS18,2009-06-30 00:00:00,6771114.33013493,15505720.026269319,20781243.379864965
GPS18,2009-06-30 02:00:00,6772534.003000715,15505136.56258521,20781228.071415823
GPS18,2009-06-30 04:00:00,6772909.936097056,15505178.976587925,20781088.003684804
GPS18,2009-06-30 06:00:00,6772379.392743612,15505108.995885074,20781368.999844205
GPS18,2009-06-30 08:00:00,6771844.947693621,15505526.240592336,20781277.476718176
GPS18,2009-06-30 09:59:44,6772128.402747348,15505418.594256602,20781264.520989284
GPS18,2009-06-30 10:00:00,6772129.834492398,15505419.748983327,20781263.271176957
GPS18,2009-06-30 11:59:44,6771685.373035207,15506240.091530822,20780795.545258258
GPS18,2009-06-30 14:00:00,6772416.793859311,15506698.42301538,20780220.117034584
GPS18,2009-06-30 16:00:00,6772560.039314513,15506773.228839215,20780123.472650442
GPS18,2009-06-30 18:00:00,6770976.4538444,15506528.317833574,20780871.931914482
GPS18,2009-06-30 20:00:00,6769973.955827458,15506651.475936368,20781129.43331604
GPS18,2009-06-30 22:00:00,6769883.664088463,15506469.971438592,20781286.28813714
GPS19,2009-06-30 00:00:00,12620490.620561931,-9015284.862922369,21601238.317831326
GPS19,2009-06-30 01:59:44,12620804.234353358,-9016373.817957185,21600597.19665504
GPS19,2009-06-30 02:00:00,12620805.08553379,-9016374.409773912,21600596.52878747
GPS19,2009-06-30 03:59:44,12621161.95409822,-9015969.638515845,21600559.59757097
GPS19,2009-06-30 06:00:00,12620875.47487474,-9017252.958678171,21600072.96932745
GPS19,2009-06-30 08:00:00,12620687.399544867,-9016876.46067519,21600332.83328313
GPS19,2009-06-30 10:00:00,12620798.229828248,-9016386.533833357,21600475.11402212
GPS19,2009-06-30 12:00:00,12621298.071874985,-9014761.741424214,21600874.479782525
GPS19,2009-06-30 14:00:00,12621394.944796821,-9015231.568636827,21600620.297532614
GPS19,2009-06-30 16:00:00,12621774.42479963,-9014638.69686873,21600648.8826717
GPS19,2009-06-30 18:00:00,12620317.011823101,-9016370.881666858,21600650.1340984
GPS19,2009-06-30 20:00:00,12618863.367345039,-9016704.967903012,21601322.85885066
