time	GPS	SVclockBias	SVclockDrift	SVclockDriftRate	IODE	Crs	DeltaN	M0	Cuc	Eccentricity	Cus	sqrtA	Toe	Cic	Omega0	Cis	Io	Crc	omega	OmegaDot	IDOT	CodesL2	GPSWeek	L2Pflag	SVacc	health	TGD	IODC	TransTime	FitIntvl
2009-06-30 14:00:00	GPS02	0.000158114358783	1.36424205266e-12	0.0	37.0	69.03125	4.76805575152e-09	2.48938445939	3.56137752533e-06	0.00905055447947	9.83104109764e-06	5153.6816349	223200.0	-5.77419996262e-08	-1.03588077584	1.67638063431e-07	0.940924021422	171.71875	2.85323806473	-8.08783689087e-09	1.89293599124e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	37.0	216000.0	0.0
2009-06-30 16:00:00	GPS02	0.000158124603331	1.36424205266e-12	0.0	48.0	77.25	4.63483591666e-09	-2.74354959652	4.20957803726e-06	0.0090508464491	9.87574458122e-06	5153.68093109	230400.0	-1.11758708954e-07	-1.03593894439	4.09781932831e-08	0.940924741178	176.8125	2.85316538403	-8.0024761924e-09	7.2860177776e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	48.0	223200.0	0.0
2009-06-30 18:00:00	GPS02	0.000158134847879	1.36424205266e-12	0.0	83.0	65.0	4.63912180947e-09	-1.69353566859	3.35089862347e-06	0.00905095378403	9.62987542152e-06	5153.6785984	237600.0	-1.24797224999e-07	-1.0359970866	-5.40167093277e-08	0.940925134703	185.625	2.85332853451	-8.06890753096e-09	1.00361323309e-10	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	83.0	230400.0	0.0
2009-06-30 20:00:00	GPS02	0.000158144626766	1.36424205266e-12	0.0	89.0	57.0625	4.76841290925e-09	-0.643575293711	2.93180346489e-06	0.00905090384185	8.99098813534e-06	5153.67505264	244800.0	8.75443220139e-08	-1.03605413017	-2.88709998131e-07	0.940925084964	200.59375	2.85354864516	-8.1392676046e-09	-1.30362572982e-10	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	89.0	237600.0	0.0
2009-06-30 22:00:00	GPS02	0.000158154871315	1.36424205266e-12	0.0	90.0	50.375	4.90484719506e-09	0.406660996297	2.46055424213e-06	0.00905123644043	8.93324613571e-06	5153.67578316	252000.0	1.82539224625e-07	-1.03611286779	-5.77419996262e-08	0.940923123191	197.71875	2.85349361457	-8.29320256912e-09	-2.27152324728e-10	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	90.0	244818.0	4.0
2009-06-30 00:00:00	GPS03	0.000413422938436	5.22959453519e-12	0.0	60.0	-24.03125	5.65702135193e-09	1.11578060246	-1.03563070297e-06	0.0120000817115	8.9555978775e-06	5153.63702393	172800.0	-1.19209289551e-07	-2.18389282537	2.08616256714e-07	0.926223839363	192.59375	0.908007529312	-8.67428989042e-09	-3.75729936374e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	60.0	165618.0	4.0
2009-06-30 02:00:00	GPS03	0.000413460191339	5.22959453519e-12	0.0	61.0	-30.78125	5.49451458287e-09	2.16589959716	-1.76019966602e-06	0.0119999323506	8.5961073637e-06	5153.63910866	180000.0	-1.56462192535e-07	-2.18395541631	-2.29105353355e-07	0.92622334636	196.71875	0.90809982774	-8.29070248389e-09	-1.81793286706e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	61.0	174840.0	0.0
2009-06-30 04:00:00	GPS03	0.000413497444242	5.22959453519e-12	0.0	101.0	-35.28125	5.50022910662e-09	-3.06707557114	-2.01165676117e-06	0.0120004365453	8.49366188049e-06	5153.63825226	187200.0	1.11758708954e-08	-2.18401493953	-2.53319740295e-07	0.926222212599	197.25	0.908098793457	-8.26641575797e-09	-1.48220459691e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	101.0	180000.0	0.0
2009-06-30 05:59:44	GPS03	0.000413539353758	5.22959453519e-12	0.0	47.0	-37.28125	5.49737184475e-09	-2.01927586336	-2.12900340557e-06	0.0120018506423	7.57165253162e-06	5153.6350708	194384.0	1.4528632164e-07	-2.18407525125	-1.08033418655e-07	0.926221664004	209.125	0.908176468555	-8.30677458193e-09	-1.17862052285e-11	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	47.0	188100.0	0.0
2009-06-30 06:00:00	GPS03	0.000413534697145	5.22959453519e-12	0.0	102.0	-37.28125	5.49701468701e-09	-2.01694242125	-2.13086605072e-06	0.0120018515736	7.57165253162e-06	5153.63508797	194400.0	1.4528632164e-07	-2.18407540047	-1.08033418655e-07	0.926221697651	209.125	0.90817676699	-8.3064174242e-09	-1.17862052285e-11	1.0	1538.0	0.0	2.8	0.0	-4.19095158577e-09	102.0	187200.0	0.0
2009-06-30 08:00:00	GPS03	0.000413576606661	5.22959453519e-12	0.0	52.0	-29.28125	5.55666002862e-09	-0.966824829484	-1.24238431454e-06	0.012001871015	7.85104930401e-06	5153.63290787	201600.0	1.73225998878e-07	-2.18413504803	1.9371509552e-07	0.926220170365	207.625	0.908271174946	-8.56249951962e-09	-1.378628854e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	52.0	194400.0	0.0
2009-06-30 10:00:00	GPS03	0.000413613859564	5.22959453519e-12	0.0	53.0	-22.1875	5.47344227655e-09	0.0834127581333	-1.13807618618e-06	0.0120028625242	7.9832971096e-06	5153.63488007	208800.0	-1.11758708954e-08	-2.18419711964	1.99303030968e-07	0.926218877145	210.125	0.908246283395	-8.62535928083e-09	-1.61078138122e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	53.0	201600.0	0.0
2009-06-30 12:00:00	GPS03	0.000413651578128	5.22959453519e-12	0.0	54.0	-20.375	5.41308242674e-09	1.13359630117	-1.09523534775e-06	0.0120034888387	8.16024839878e-06	5153.63623619	216000.0	-1.35973095894e-07	-2.1842585505	8.94069671631e-08	0.926217269398	205.5	0.908273135256	-8.58714344076e-09	-2.58939369946e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	54.0	208818.0	4.0
2009-06-30 14:00:00	GPS03	0.000413688831031	5.22959453519e-12	0.0	64.0	-26.84375	5.23628962412e-09	2.18371703381	-1.50687992573e-06	0.0120033327257	7.88830220699e-06	5153.63825417	223200.0	-8.75443220139e-08	-2.18432044071	-2.27242708206e-07	0.926216950482	209.65625	0.908362083601	-8.30463164903e-09	-1.37148570278e-10	1.0	1538.0	0.0	2.0	0.0	-4.19095158577e-09	64.0	216018.0	4.0
