Satellite,Epoch Time,Parameter,Value
QZSS07,2021-03-19 02:00:00,Cis,-7.115304470062e-07
QZSS07,2021-03-19 02:00:00,Io,0.001255144213223
QZSS07,2021-03-19 02:00:00,Crc,-200.71875
QZSS07,2021-03-19 02:00:00,omega,2.932682691217
QZSS07,2021-03-19 02:00:00,OmegaDot,1.095045613045e-09
QZSS07,2021-03-19 02:00:00,IDOT,0.0
QZSS07,2021-03-19 02:00:00,CodesL2,2.0
QZSS07,2021-03-19 02:00:00,GPSWeek,2149.0
QZSS07,2021-03-19 02:00:00,L2Pflag,0.0
QZSS07,2021-03-19 02:00:00,SVacc,2.8
QZSS07,2021-03-19 02:00:00,health,0.0
QZSS07,2021-03-19 02:00:00,TGD,-6.053596735001e-09
QZSS07,2021-03-19 02:00:00,IODC,805.0
QZSS07,2021-03-19 02:00:00,TransTime,435606.0
QZSS07,2021-03-19 02:00:00,FitIntvl,0.0
QZSS01,2021-03-19 02:00:00,SVclockBias,-0.0003563039936125
QZSS01,2021-03-19 02:00:00,SVclockDrift,-3.410605131648e-12
QZSS01,2021-03-19 02:00:00,SVclockDriftRate,0.0
QZSS01,2021-03-19 02:00:00,IODE,37.0
QZSS01,2021-03-19 02:00:00,Crs,-87.625
QZSS01,2021-03-19 02:00:00,DeltaN,2.164018711494e-09
QZSS01,2021-03-19 02:00:00,M0,-1.114960983583
QZSS01,2021-03-19 02:00:00,Cuc,-2.771615982056e-06
QZSS01,2021-03-19 02:00:00,Eccentricity,0.07490587607026
QZSS01,2021-03-19 02:00:00,Cus,3.118067979813e-06
QZSS01,2021-03-19 02:00:00,sqrtA,6492.965978622
QZSS01,2021-03-19 02:00:00,Toe,439200.0
QZSS01,2021-03-19 02:00:00,Cic,1.195818185806e-06
QZSS01,2021-03-19 02:00:00,Omega0,-0.5583885235805
QZSS01,2021-03-19 02:00:00,Cis,1.965090632439e-06
QZSS01,2021-03-19 02:00:00,Io,0.7311175228709
QZSS01,2021-03-19 02:00:00,Crc,59.3125
QZSS01,2021-03-19 02:00:00,omega,-1.572078605213
QZSS01,2021-03-19 02:00:00,OmegaDot,-1.986868475333e-09
QZSS01,2021-03-19 02:00:00,IDOT,-3.057270204718e-10
QZSS01,2021-03-19 02:00:00,CodesL2,2.0
QZSS01,2021-03-19 02:00:00,GPSWeek,2149.0
QZSS01,2021-03-19 02:00:00,L2Pflag,0.0
QZSS01,2021-03-19 02:00:00,SVacc,2.8
QZSS01,2021-03-19 02:00:00,health,0.0
QZSS01,2021-03-19 02:00:00,TGD,-5.587935447693e-09
QZSS01,2021-03-19 02:00:00,IODC,805.0
QZSS01,2021-03-19 02:00:00,TransTime,435606.0
QZSS01,2021-03-19 02:00:00,FitIntvl,0.0
QZSS02,2021-03-19 02:00:00,SVclockBias,3.634486347437e-06
QZSS02,2021-03-19 02:00:00,SVclockDrift,6.821210263297e-13
QZSS02,2021-03-19 02:00:00,SVclockDriftRate,0.0
QZSS02,2021-03-19 02:00:00,IODE,37.0
QZSS02,2021-03-19 02:00:00,Crs,825.875
QZSS02,2021-03-19 02:00:00,DeltaN,1.543278569461e-09
QZSS02,2021-03-19 02:00:00,M0,2.903681351172
QZSS02,2021-03-19 02:00:00,Cuc,2.468004822731e-05
QZSS02,2021-03-19 02:00:00,Eccentricity,0.07464144716505
