Satellite,Epoch Time,x,y,z
QZSS03,2021-03-19 12:00:00,-31711937.91433343,16012298.477602804,-18102671.126262188
QZSS03,2021-03-19 13:00:00,-31715907.69383182,16003824.732907977,-18100752.266261604
QZSS03,2021-03-19 14:00:00,-31719959.687010523,15999430.378364002,-18095788.514660943
QZSS03,2021-03-19 15:00:00,-31723007.262972448,15999982.4254459,-18089649.70264
QZSS03,2021-03-19 16:00:00,-31722891.216360014,16003005.32449047,-18087955.77320351
QZSS03,2021-03-19 17:00:00,-31721395.851263274,16007235.473490357,-18087808.544657752
QZSS03,2021-03-19 18:00:00,-31719461.01925002,16009623.866604358,-18089449.549073033
QZSS03,2021-03-19 19:00:00,-31718204.068481427,16010609.600759882,-18090708.682554167
QZSS03,2021-03-19 20:00:00,-31718499.20674101,16010312.178029928,-18090426.03058709
QZSS03,2021-03-19 21:00:00,-31720100.312570177,16008725.498011366,-18089250.124834638
QZSS03,2021-03-19 23:00:00,-31723299.05846508,16005470.276069975,-18087049.876510527
QZSS03,2021-03-20 00:00:00,-31722391.53123097,16004155.928569932,-18089453.24040684
QZSS07,2021-03-19 00:00:00,-25394929.58623039,33655876.445129886,49135.98021692874
QZSS07,2021-03-19 01:00:00,-25394581.804601483,33656138.840296455,49136.21218062362
QZSS07,2021-03-19 02:00:00,-25392543.62209167,33657677.48910545,49136.27668679298
QZSS07,2021-03-19 03:00:00,-25389686.782640826,33659837.65865902,49124.08937296271
QZSS07,2021-03-19 04:00:00,-25387557.06583615,33661457.002073914,49068.93721685731
QZSS07,2021-03-19 05:00:00,-25387362.051792704,33661605.80591522,48939.30348633945
QZSS07,2021-03-19 06:00:00,-25388997.781134047,33660317.94651467,48732.69555482798
QZSS07,2021-03-19 07:00:00,-25391000.69354935,33658695.97875978,48490.51431963948
QZSS07,2021-03-19 08:00:00,-25391514.097924106,33658271.96625043,48277.54533971475
QZSS07,2021-03-19 09:00:00,-25390041.5759412,33659585.88175288,48140.71946762137
QZSS07,2021-03-19 10:00:00,-25387869.652660817,33661609.87724012,48082.28994118161
QZSS07,2021-03-19 11:00:00,-25386639.836229127,33662808.84632419,48069.74017099399
QZSS07,2021-03-19 12:00:00,-25386889.869863097,33662553.47155451,48069.13094664432
QZSS07,2021-03-19 13:00:00,-25388375.293201484,33661009.08209731,48067.86982267037
QZSS07,2021-03-19 14:00:00,-25389892.318296254,33659417.37989131,48068.87996772899
QZSS07,2021-03-19 15:00:00,-25391488.502578147,33657780.53177932,48068.34461824925
QZSS07,2021-03-19 16:00:00,-25389399.66401998,33659840.3634497,48049.632110059596
QZSS07,2021-03-19 17:00:00,-25390305.576124955,33658982.439245425,47985.50930107555
QZSS07,2021-03-19 18:00:00,-25388648.456735298,33660446.316392176,47875.267941767226
QZSS07,2021-03-19 19:00:00,-25387571.78742822,33661342.90174241,47740.17553914361
QZSS07,2021-03-19 20:00:00,-25387059.341233313,33661751.03878655,47617.8989965707
QZSS07,2021-03-19 21:00:00,-25387274.595999487,33661586.29510858,47536.86958379364
QZSS07,2021-03-19 22:00:00,-25388188.890596416,33660893.032439716,47500.60960190196
QZSS07,2021-03-19 23:00:00,-25389447.65098661,33659942.58384013,47491.96369168696
QZSS07,2021-03-20 00:00:00,-25390644.93485378,33659039.33683833,47491.161396294396
